sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
EBRAS,Agregado  Aaeronáutico,Agregaduría  de  la  Fuerza  Aerea,Agregaduria  Militar,Comodoro  Jose  Javier,Gianotti,A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea,55  6132127600,,,,55  6133652870,,agregaerbras@faa.mil.ar,,,,,,0.0000000,0.0000000,,
EPORT,Agregado  Administrativo,Chief  of  Administrative  Section,Sección,Josefina  M.  ,Gallo  Morando,Jefatura  de  Sección  Administrativa,00351  21  79  59  223,,,,,,eport@cancilleria.gob.ar,,,,Lunes,Viernes,9.0:29,17.0000000,Administración  Embajada.,
CGUAY,AGREGADO  CONSULAR,AGREGADO  ADMINISTRATIVO,Sección,Rodrigo  Enrique  ,Melian,Agregado,593  4  2221525,,593  4  220  7987,,,,cguay@cancilleria.gov.ar,,,,,,0.0000000,0.0000000,,
EBRAS,Agregado  Militar,Agregado  de  Defensa  y  Naval,Agregaduria  Militar,Coronel  Juan  Pablo  ,de  la  Vega,A  cargo  de  la  Agregaduría  Militar,55  61  3365-2850,,,,,,agregaduriamilitarbrasil@gmail.com,,,,,,0.0000000,0.0000000,,
EBRAS,Agregado  Naval    y  de  Defensa,Agregado  Militar,Agregaduria  Militar,Comodoro  Carlos  Gabriel,Funes,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",5  6133652850,,,,55  6133652850,,agregadurianaval@gmail.com,,,,,,0.0000000,0.0000000,,
EBOLV,Agregaduría  Aeronáutica,Agregaduría  Aeronáutica-,Sección,,,A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea,+591  2  2424487,,,,+591  2  2424410,,agraebol@yahoo.com.ar,,,,,,,,,
EEEUU,Agregaduria  Aeronautica,Air  Force  Attache,Sección,Carlos  Gabriel  ,Cendon,A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea,00  1  202  452  8501,,  00  1    703  407  3152,,00  1  202  822  8051,,airattacheassistant.ar@gmail.com,,www.faaus.org,,,,,,,
ECHIN,Agregaduría  Agrícola,Jefatura  de  Agregadurìa  Agrìcola,Sección,Hernan,Viola,Agregado,(+86-10)  8453  0298,,,,,,echin@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,18.0000000,9  a  18  hs,
EINDI,Agregaduría  Agrícola,Agricultural  Section,Sección,Mariano,Beheran,A  cargo  de  la  Agregaduría  de  Agricultura,+91  11    4078  1900,,,,,,eindi@mrecic.gov.ar,,,,Lunes,Viernes,9.0:29,18.0000000,,
ESURI,Agregaduria  de  Defensa,,Sección,,,,,,,,,,,,,,,,,,,
EPBAJ,Agregaduría  de  Defensa  ,Defense  Attache,Agregaduria  Militar,Comodoro  Horacio  Matías,Orefice Pieroni,Agregado,(0034)  91-563  54  71,,,,(0034)  91-563  53  51,,epbaj@cancilleria.gob.ar,,,,,,,,,
EPERU,Agregaduria  de  Defensa  y  Aeronáutica,Agregaduria  Aeronautica  y  de  Defensa,Agregaduria  Militar,Comodoro  Pablo,Asís  Bas,Agregado,(0051-1)  2217563,,(0051-1)  4414444,,,,eperu@cancilleria.gob.ar,,,,,,,,09:00  A    17:30,
EHILE,Agregaduría  de  Defensa  y  Aeronáutica,  Aeronautic  and  defense  Attaché  Office,Agregaduria  Militar,Comodoro  Angel  Javier  ,Rojas,A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea,56  2  2639  6285,,,,56  2  2639  6285,,agregaerchi@faa.mil.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EEEUU,Agregaduria  de  Defensa  y  Militar,Militar  Attache,Sección,Alejandro  Guillermo  ,Liberatori,A  cargo  de  la  Agregaduría  Militar,00  1  202  667  4900,,,,00  1  202    667  4903,,argattache@amilusa.com,,www.amilusa.com,,,,,,07:30  a  14:00  hs.,
EBOLV,"Agregaduría  de  Defensa, Militar  y    Fuerza  Aérea",A  cargo  de  la  Agregaduría  de  Defensa.,Agregaduria  Militar,JAVIER  ALBERTO,MARTÍNEZ  PAGOLA,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",+591  2  2424170,591  2  2424458,,,+591  2  2424458,,defebol10304@yahoo.com.ar,,,,Lunes,Viernes,9.0000000,15.0000000,,
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defence  Attaché,Agregaduria  Militar,Mariano  Hernán  ,Garcia  Bonini,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",00  49  (30)  2266  8948,,,,00  49  (30)  8441  7137,,defensa_ealem@mrecic.gov.ar,,,,,,,,,
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defense  Attaché,Agregaduria  Militar,Gonzalo,Villegas  Campos,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",74992373821,+84992373821  //  +74992374217  //  +84992374217,,,,,secretariadefargrusia@gmail.com,,,,,,,,,
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregadurìa  Militar,Agregaduria  Militar,General  Marcelo  Rubén  ,Perfetti,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",(+86-10)  6532  3321,,,,,,echin@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,18.0000000,9  a  18  hs,
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Air  Attaché  Office",Sección,Coronel  Bruno  ,Varani,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",972  99564694,,972  544519808,,,,agrdefis@actcom.co.il,,,,Lunes,Viernes,,,08.00  a  14.00  hs,
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",ekuwa,Sección,,,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",(2-02)  27369305,,,,(2-02)  27369202    ,,ekuwa@cancilleria.gob.ar,,,,,,,,"Domingo  a  Jueves, 09  a  15  hs",
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Army, Navy  and  Air  Force  Attaché",Agregaduria  Militar,Hernán  Diego,Rodriguez  Murgana,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",52  55  5281-6544,,,,,,agdefarg@prodigy.net.mx,,,,,,,,09:00  a  14:00  Hrs.,
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Aeronautical  Office",Agregaduria  Militar,Damián  Gabriel,Orgiazzi,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",27  12  460  3683,,,,27  12  460  8875,,agsa@ara.mil.ar,,,,,,,,,
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar,,,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",+57  601  636  5003,,,,,,agredefcolombia@gmail.com,,,,,,,,,
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defense  Attaché  Office,Agregaduria  Militar,Humberto  Rolando  ,Salas,Agregado,39  064880296,,,,,,difesa.argentina@alice.it,,,,,,0.0000000,0.0000000,,
EINDI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar,Coronel  Daniel,Guerra,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,,,,,,adefindia@gmail.com,,,,Lunes,Viernes,9.0:29,18.0000000,,
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","Agregaduría    de  Defensa, Militar, Naval  y  Fuerza  Aérea",Sección,Claudia  Alejandra  ,Riquelme,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,,,,,,defence@argentine-embassy-uk.org,,,,Lunes,Viernes,9.0000000,18.0000000,,
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",Defence  Attach,Agregaduria  Militar,Bernardo  Ian,Odoriz,"A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,,,,,,defence@argentine-embassy-uk.org,,,,Lunes,Viernes,9.0000000,18.0000000,,
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA),Oficial  de  Enlace  de  la  Gendarmería  Nacional  Argentina  ante  la  Policía  Boliviana.,Sección,Iara,Murad,Agregado,+591  2  2417737,,591  64500174,,591,,ebolv@mrecic.gob.ar,,,,,,,,08:00  A  17:00,
EBOLV,Agregaduría  de  Prefectura  Naval,Agregaduría  de  Prefectura  Naval,Sección,,,Agregado,591,,,591,,,,,,,,,0.0000000,0.0000000,,
EECUA,Agregaduria  Militar,Agregaduria  Militar,Sección,Carlos  Javier  ,Chanique,Agregado,(593)  2256  -  2292  int.  230,,,,,,agregaduria_ecuador@homail.com,,,,Lunes,Viernes,,,7  A  15  HORAS,
EEGIP,Agregaduría  Militar,Agregaduría  Militar,Agregaduria  Militar,Coronel  Walter  Marcelo,Nieto,A  cargo  de  la  Agregaduría  Militar,,,,,,,secregipto@gmail.com,,,,Domingo,Jueves,9.0000000,15.0000000,,
EHILE,Agregaduria  Militar,military    Attaché  Office,Agregaduria  Militar,Coronel  Pablo  Adolfo  ,Cerda,A  cargo  de  la  Agregaduría  Militar,2  2638  3554,,,,,,  agremilchile@ejercito.mil.ar,,,,,,9.0000000,16.0:59,,
EEEUU,Agregaduria  Naval,Naval  Attache,Sección,Osvaldo  Raúl,Chiñi,A  cargo  de  la  Agregaduría  Naval,00  1  202  626  2100,,00  1  202  626  2131,,00  1  202  626  2180,,argnavattache@gmail.com,,www.argnavattache-usa.org,,,,,,,
EHILE,Agregaduría  Naval,Navy    Attaché  Office,Agregaduria  Militar,Capitán  de  Navío  Carlos  Pedro  ,Schavinsky  Trinchero,A  cargo  de  la  Agregaduría  Naval,56  2  2638  0219,,,,56  2  2638  0219,,agch@armada.mil.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
CNYOR,Asistencia  a  Argentinos  en  el  Exterior,Argentine  Community  Affairs  and  Assintance  to  Argentines  Citizens,Sección,Nelson  Flavio  ,Martín,Jefatura  de  Sección,1  212  603  0423,1  212  603  0404,1  646  283  5892,1  917  861  4738,,,cnyor-asistencia@mrecic.gov.ar,,http://cnyor.mrecic.gov.ar/es/comunidad,,Lunes,Viernes,9.0000000,16.0:59,,
ETUNE,Asuntos  Culturales  ,Cultural  Affairs  and  Press,Sección,Juan  Ignacio  ,Rossi  Sammartino,Jefatura  de  Sección  Cultural,216  71  964  782,,,,,,etune@cancilleria.gob.ar,,,,,,9.0000000,18.0000000,,
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat),Multilateral  (UNEP  /  UN  HABITAT),Sección,Joaquín  Elías  ,Salzberg,Jefatura  de  Sección,+254  (0)  729  638  081  ,,,,,,ekeny@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)","Nuclear  Affairs  (IAEA, CTBTO, Zangger  C., NSG)",Sección,Juan  F.  ,Gutiérrez  Tellería,Jefatura  de  Sección,,,,,,,nuclear-etria@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ECANA,Asuntos  oceánicos  y  polares  -  Educación  y  Deportes  -  Diplomacia  Pública,Ocean  and  Polar  Affairs  -  Education  and  Sports  -  Public  Diplomacy,Sección,Juan  Pablo  ,Allamian,Jefatura  de  Sección,,,,,,,ecana@cancilleria.gob.ar,,,,Lunes,Viernes,,,,
ETRIA,Asuntos  relativos  a  la  Comisión  de  las  Naciones  Unidas  para  el  Derecho  Mercantil  Internacional,Matters  related  to  the  United  Nations  Commission  On  International  Trade  Law,Sección,Cecilia  Inés  ,Silberberg,Jefatura  de  Sección,,,,,,,etria@mrecic.gov.ar;  Email  de  la  Sección  Consular:  consular-etria@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ETRIA,Asuntos  relativos  a  la  Oficina  de  Asuntos  del  Espacio  Ultraterrestre  (OOSA),UNOOSA  Affairs,Sección,Cecilia  Inés  ,Silberberg,Jefatura  de  Sección,,,,,,,unov-etria@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ETRIA,Asuntos  relativos  a  la  Oficina  de  las  Naciones  Unidas  contra  la  Droga  y  el  Delito  (ONUDD),UNODC  Affairs,Sección,María  Paula  ,Zannini,Jefatura  de  Sección,,,,,,,unov-etria@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ETRIA,Asuntos  relativos  a  la  Organización  de  las  Naciones  Unidas  para  el  Desarrollo  Industrial  (ONUDI),UNIDO  Affairs,Sección,Franco  A.  ,Senilliani  Melchior,Jefatura  de  Sección,,,,,,,unov-etria@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ECEUR,Cancillería,Chancellery,Sección,María,Crespo,Jefatura  de  Sección,(+32)  2  648  93  71,,,,,,eceur@cancilleria.gob.ar,,,,,,,,,
ECEUR,Consejería  Agrícola,Agricultural  Office,Sección,Gastón,Funes,A  cargo  de  la  Agregaduría  de  Agricultura,(+32)  2  640  33  33,,,,,,gmfunes@magyp.gob.ar,,www.agricola-ue.org,,,,,,,
EEEUU,Consejería  Agrícola,Jefatura  de  Consejería  Agricola,Sección,Cecilia,Marincioni,Jefatura  de  Sección  Agrícola,00  1  202  238  6444,,,,00  1  202  332  1324,,agricola@consejeria-usa.org,,,,,,,,09:00  a  18:00  hs.,
EBRAS,Consejería  Agrícola,,Sección,Javier  Gustavo  ,Dufourquet,A  cargo  de  la  Oficina  Agrícola,,,,,,,jdufourquet@consejeria-brasil.org,,,,,,,,,
CPCAR,Cónsul  Adjunto,Consulado,Sección,Ramiro  Fernando,Gerszenswit,Cónsul  Adjunto,52  1  998  103  8570,,52  1  998  103  8570,,,,cpcar@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EKENY,Consular  ,Consular  ,Sección  Consular,Demian  ,Dobry,Jefatura  de  Sección  Consular,+254  (0)  729  638  081,,+254  (0)  791  258  635,,,,consulkenya@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
CGUAY,CONSULAR,CONSULAR,Sección,Federico  Manuel  ,Kalbermatten,Cónsul  Adjunto,593  4  2221525,,,,,,cguay@cancilleria.gov.ar,,,,,,0.0000000,0.0000000,,
EBOLV,Contabilidad  y  Administración.,Contabilidad  y  Administración.,Sección,,,Jefatura  de  Sección  Administrativa,+591  2  2417737,+591  2  2417737  //  +591  2  2417737,,,,,,ebolv@mrecic.gov.ar,ebolv.mrecic.gov.ar,,,,,,08:30  a  16:30,
EHAIT,Cooperación  Internacional,Todo  el  territorio  de  Haiti,Sección,César  Alberto  ,Faes,Embajador,509  2940-6711/12/13/14,,50936760359,,,,ehait@cancilleria.gob.ar,,,,Lunes,Viernes,,,9.00  hs  a  17.00  hs,
ETUNE,Cooperación  Internacional,International  Co-operation,Sección,Juan  Ignacio  ,Rossi  Sammartino,Jefatura  de  Sección,216  71  964  782,,,,,,etune@mrecic.gov.ar  (correo  inst.),,,,Lunes,Viernes,9.0000000,18.000004,,
ECOLO,"Cooperación  Internacional, Ciencia  y  Tecnología","Cooperación, Ciencia  y  Tecnología",Sección,Federico  ,Romero  Pintos,Jefatura  de  Sección,57  601  2880900,,,,,,ecolo@cancilleria.gov.ar          ,,,,,,,,,
EJAPO,"Cooperación, Ciencia, Tecnología  e  Inversiones",Cooperation,Sección,Renato  Iván  Agustín  ,Morales,Jefatura  de  Sección,,,,,,,ejapo@mrecic.gov.ar,,,,,,,,,
EBOLV,"Coordinación  Gral., Sección  Política, Medio  Ambiente  y  Asuntos  Jurídicos",Area  de  límites  y  fronteras.  Defensa  y  cooperación  militar,Sección,Jesica  Daniela  ,Ambrosini,Jefatura  de  Oficina,+591  2  2417737,+591  2  2417737,,,591  2  2422727,,jed@mrecic.gov.ar,,ebolv.mrecic.gov.ar,,,,,,08:30  a  16:30,
EKENY,Cultural,Cultural,Sección,Cynthia  Alicia  ,Mulville,Jefatura  de  Misión  Adjunto,+254  (0)  729  638  081  ,,,,,,ekeny@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ESALV,Cultural,Seccion  Cultural,Sección,Horacio  L.  M.  ,Lazzari  Mathieu,Jefatura  de  Sección  Cultural,503  25219406,,,,,,esalv@mrecic.gov.ar,,,,Lunes,Viernes,7.0:59,16.0000000,,
CGMUM,Deportes,Sports,Sección,María  Virginia  ,Yapur,Jefatura  de  Sección,,,919930310617,,,,sports_cgmum@mrecic.gov.ar,,https://cgmum.cancilleria.gob.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
EPBAJ,Diplomacia  Pública,Public  Diplomacy,Sección,María  Soledad  ,Bellavigna,Jefatura  de  Sección,0031  70  3118416,,,,,,epbaj@mrecic.gov.ar,,,,,,,,,
CNYOR,Documentación:  certificados  y  legalizaciones,Certificates  and  legalizations,Sección,María  Belén  ,García  Alcat,Jefatura  de  Sección,1  212  603  0401,,1(646)  283-5892,,,,cnyor-tramites@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,"  Nueva  York, Connecticut, Nueva  Jersey, Maine, Rhode  Island, Nueva  Hampshire, Massachussets, Vermont.",
CNYOR,Documentación:  gestión  documental  y  RENAPER,Consular  Department,Sección,Natalia  Lorena  ,Acevedo,Jefatura  de  Sección,1  212  603  0400,,1  646  283  5892,,,,cnyor-tramites@mrecic.gov.ar,,http://cnyor.mrecic.gov.ar/es/content/trámites,,Lunes,Viernes,9.0000000,16.0:59,,
EKENY,Económica  -  Comercial,Economic  -  Commercial,Sección,Demian  ,Dobry,Jefatura  de  Sección  Económica  y  Comercial,+254  (0)  729  638  081,,,,,,comercialkenya@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EUNGR,Económico  Comercial,Sección  Económico  Comercial,Sección,Ricardo  Andrés  ,Vignolo,Jefatura  de  Sección  Económica  y  Comercial,36  13260492,,,,,,  eungr@mrecic.gov.ar      ,,,,Lunes,Viernes,9.0000000,16.0:59,,
CGMUM,Educación  y  Cultura,Education  and  Culture  Section,Sección,María  Virginia  ,Yapur,"Jefatura  de  Sección  Cultural, Educativa  y  Turística",,,919930310617,,,,culture_cgmum@mrecic.gov.ar,cgmum@mrecic.gov.ar,https://cgmum.cancilleria.gob.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  ,Jefatura  de  Misión,Sección,Marcelo  Adrián  ,Massoni,Embajador,+591  2  2417737,,,,+591  2  2422728,,ebolv@mrecic.gov.ar,,ebolv.mrecic.gov.ar,,,,,,08:30  a  16:30,
EMEXI,Encargada  de  Negocios,Chief  of  Mission,Sección,Romina  Paola  ,Bocache,Encargada  de  Negocios  a.i,52  5555209430,,,,,,privada-emexi@mrecic.gov.ar,,,,,,,,9:00  a  17:00  hs,
EFILI,Fabricio  Sordoni,Fabricio  Sordoni,Sección  Consular,Fabricio  ,Sordoni,Jefatura  de  Sección  Consular,63  2  88453218,,63  9178366925,,,,secon_efili@mrecic.gov.ar,visas_efili@mrecic.gov.ar,,,Lunes,Viernes,9.0000000,16.0:59,,
EFILI,Gabriel  Hernán  Rivera,Gabriel  Hernán  Rivera,Sección,Gabriel  Hernán  ,Rivera,Jefatura  de  Sección  Política,63  2  88453218,,63  9178366925  ,,,,comercial_efili@mrecic.gov.ar,efili@mrecic.gov.ar,,,Lunes,Viernes,9.0000000,16.0:59,,
ESSED,Jefatura  de  Cancillería,Head  of  Chancery,Sección,Sofía  ,Sánchez  Acosta,Jefatura  de  Oficina,39  06  686-5303,,,,39  06  687  9021,,essed@mrecic.gov.ar,,http://essed.mrecic.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
ESUIZ,Jefatura  de  Cancillería,Deputy  Chief  of  Mission,Sección,Daniela  Paula  ,Duverne,Jefatura  de  Misión  Adjunto,,,,,,,esuiz@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,19.0000000,,
EITAL,Jefatura  de  Cancillería,Deputy  Chief  of  Mission,Sección,Gonzalo  Sebastián  ,Mazzeo,Jefatura  de  Sección,,,,,,,eital@mrecic.gov.ar,,,,Lunes,Viernes,9.0:29,16.0:39,,
EISRA,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Pablo  Javier  ,Hartstein,Jefatura  de  Misión  Adjunto,972  9    2520800  /    732520801  ,,,,,,eisra@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
ETUNE,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Sebastián,Ballina,Jefatura  de  Misión  Adjunto,216  71860122,,,,,,etune@mrecic.gov.ar  ,,,,Lunes,Viernes,7.0:59,16.0000000,,
EBELG,Jefatura  de  Cancillería,Head  of  Chancery,Sección,Jesica  Daniela  ,Ambrosini,Jefatura  de  Sección,32  2  647  7812,,,,,,ebelg@cancilleria.gob.ar,,,,,,,,,
ECORE,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Gustavo  Rodolfo  ,Adise,Jefatura  de  Sección,,,,,,,ecore@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,18.0000000,,
EESPA,Jefatura  de  Cancillería,Chancellery,Sección,José  Sebastián  ,Laino,Jefatura  de  Oficina,34  917710500  -19,,34  639707564,,34  91  7710526,,eespa@mrecic.gov.ar,,http://eespa.mrecic.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,9.00  a  17.00  hs,
EINDI,Jefatura  de  Cancilleria,Jefatura  de  Cancilleria,Sección,Marcelo  ,Boffi,Jefatura  de  Misión  Adjunto,,,,,,,eindi@mrecic.gov.ar,,,,Lunes,Viernes,9.0:29,18.0000000,,
EFRAN,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,M.  Victoria  ,Stöger  Rodríguez,Jefatura  de  Oficina,33144052700,,,,,,efran@cancilleria.gob.ar,,,,,,,,09:00  a  13:00  hs  y  13:00  a  17:00  hs,
EUNGR,Jefatura  de  Cancillería,Head  of  Chancellery,Sección,Ricardo  Andrés  ,Vignolo,Jefatura  de  Misión  Adjunto,+36  1  326  0492,,,,,,  eungr@mrecic.gov.ar      ,,,,Lunes,Viernes,9.0000000,16.0:59,,
EURUG,Jefatura  de  Cancillería,Chancery  chief,Sección,Luis  Hernán  ,Albero,Jefatura  de  Sección,(+598)  2902  8166,,(+598)    92  947  601,,(+598)  2900  8408,,eurug@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EALEM,Jefatura  de  Cancillería,Head  of  Office,Sección,Martín  Facundo  ,Rearte,Jefatura  de  Misión  Adjunto,,,,,,,ealem@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EPNMA,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Leopoldo  Juan  José  ,Garade,Jefatura  de  Sección,507  302  0003,,507  66161112,,,,epnma@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
